STANDARD_NAME,21A,22A,22B,23A,23B,ra_obj,dec_obj
T202212131056504m055824,,,T202212131056504m055824,T202302021056504m055824,,164.20988989382863,-5.973451879988563
T202301181104274m062457,,,T202301181104274m062457,T202302021104274m062457,,166.11431879881326,-6.415748599783244
T202212251114265m071556,,,T202212251114265m071556,T202302021114265m071555,,168.6103756123104,-7.265407661158128
T202301101054055m055847,,,T202301101054055m055847,T202302021054056m055847,,163.5231223175002,-5.979802079207097
C202212191057273m070415,,,C202212191057273m070415,C202302021057273m070414,,164.36366843430758,-7.070700416125914
T202212131052224m080253,,,T202212131052224m080253,T202302021052224m080253,,163.0934814924514,-8.04792563197879
C202212221055530m052824,,,C202212221055530m052824,C202302021055530m052824,,163.9706529117901,-5.473459139234484
C202103221425535p014858,C202103221425535p014858,,,,,216.47296589968087,1.8161001644958719
A202103221424440m020040,A202103221424440m020040,,,,,216.1834020011221,-2.011153795716736
C202103221443116m002550,C202103221443116m002550,,,,,220.79833252736728,-0.4306389450011237
T202105181428159m015856,T202105181428159m015856,,,,,217.06635568160772,-1.982158797926626
A202104061415068p022542,A202104061415068p022542,,,,,213.77836221968292,2.4284204139422707
A202104251408147m001144,A202104251408147m001144,,,,,212.06125951861665,-0.195506115127952
A202104251418583m020408,A202104251418583m020408,,,,,214.74310725764454,-2.0688964566044787
C202103221431402m010431,C202103221431402m010431,,,,,217.9175870869529,-1.0753707222009323
T202103221440354p000304,T202103221440354p000304,,,,,220.14768474296886,0.05098450911362455
A202103221436217m014328,A202103221436217m014328,,,,,219.0905582893596,-1.7245699695592804
T202103221404394p014627,T202103221404394p014627,,,,,211.16428666723723,1.7740958303218393
A202103221415210m013137,A202103221415210m013137,,,,,213.8376895002531,-1.5269817494761384
C202204211420286p001610,,C202204211420286p001610,,,,215.11914853572262,0.26937076471054805
C202204211309004p055131,,C202204211309004p055131,,,,197.2515447557508,5.858477590942048
C202204241421207m000554,,C202204241421207m000554,,,,215.33633635450283,-0.09828899548344848
T202204241244441p065832,,T202204241244441p065832,,,,191.18356866757145,6.975467645246823
T202204211237064p073304,,T202204211237064p073304,,,,189.2766468147378,7.551068442514311
C202204241450579p071436,,C202204241450579p071436,,,,222.74104765081955,7.243405513785622
