21A,22A,22B,23A,23B,ra_obj,dec_obj
,,C202210020000005m002704,,,0.0019038573116176851,-0.4510541925797486
,,T202209140000007p000606,,T202308020000007p000606,0.0027682090697851436,0.10172821229848189
,,T202210260000009p003229,,T202308130000010p003230,0.003874368783840509,0.5415299442209152
,,T202209090000014p001817,,,0.005892200778987443,0.30468573715811564
,,T202210020000016p003460,,T202308130000017p003460,0.006865603858358327,0.5832362847159391
,,,,T202308250000026m004809,0.010640667578513785,-0.8024479418126358
,,T202209140000026p002010,,T202308030000027p002010,0.011029637813294357,0.3361073989285982
,,T202209090000028p001246,,T202308020000028p001246,0.011738658268825475,0.2127725388085116
,,T202209090000031p002133,,T202308130000031p002133,0.01291450731906707,0.3590944887158237
,,T202209090000032p002723,,T202308250000032p002723,0.013491859526936878,0.4563091155538578
,,T202209090000033m002313,,,0.013911030255087551,-0.3870219509796725
,,T202210020000039m002631,,T202308020000039m002631,0.01615179312904047,-0.4420093329664319
,,T202209140000046m000231,,T202308030000046m000231,0.01917811762200472,-0.04186537657359782
,,T202210110000047p004655,,,0.019621143647952977,0.7819128983096765
,,,,T202308250000051p002313,0.021179010458865832,0.38686851549025214
,,,,T202308220000060p005825,0.024809359607559145,0.973523665897388
,,T202210020000061m004210,,T202308220000061m004210,0.02546297443720391,-0.702722736099209
,,T202209140000062p002601,,T202308020000062p002602,0.025876725427252723,0.43379146998071155
,,T202210020000064p005207,,T202308130000064p005206,0.026685450010347722,0.8684598683710415
,,T202210200000066p005605,,T202308130000066p005605,0.02751903414980461,0.9346610376424157
,,,,T202309090000070p005128,0.029304349382357486,0.8576832824391514
,,T202209140000071p005129,,,0.029597822795096818,0.8581484791399463
,,,,T202308220000073m001810,0.03023017450948373,-0.3027203265266041
,,T202210020000073m000648,,T202308220000074m000648,0.03061303823272965,-0.11330192470387802
,,T202210020000081p001635,,T202308030000081p001635,0.033848651716311906,0.2763790403292994
,,T202209140000088p004449,,T202308020000088p004449,0.03660296778048178,0.7470089776652089
,,T202210020000095p000006,,T202308130000095p000006,0.03948848702128771,0.001632012892339647
,,T202209090000096p004924,,T202308020000096p004925,0.040060341524309706,0.8234900963937895
,,T202209090000099p005944,,T202308040000098p005944,0.0410534443339543,0.9956168104505014
,,T202209090000102p003624,,T202308020000102p003624,0.04251839606988028,0.6065765561910452
,,T202210020000105m003801,,T202308030000105m003801,0.0437496894451499,-0.6335239143764552
,,T202209140000114p003032,,T202308020000114p003032,0.047338493816795335,0.5087737452194994
,,,,T202308250000125p004615,0.05211261688685909,0.7708770162844387
,,T202209090000138p003912,,,0.05753472003442539,0.6533949183248807
,,T202210060000143p004924,,,0.0596892010998431,0.8234285686156859
,,T202210020000147p003204,,,0.06130644742114555,0.5343589391002674
,,,,T202308250000154p005247,0.06422248519635332,0.8796065874150796
,,T202209140000155p005247,,,0.0644578794527888,0.8798069289421218
,,,,T202308130000157p003243,0.06554930765753397,0.545308817400124
,,T202307200000161m004331,,T202308130000161m004331,0.06726664786512515,-0.725234831654294
,,T202209140000164m001834,,T202308020000164m001833,0.06830010523196961,-0.3092680291136457
,,T202210200000165m001349,,T202308250000165m001349,0.06882077646827156,-0.2302656545600392
,,,,T202308220000170p003650,0.07069025458736178,0.6138417693129734
,,T202209090000178p003557,,T202308020000178p003557,0.07401060157457096,0.5992633477749671
,,T202209090000178m002206,,T202308040000178m002206,0.07431752899529442,-0.36834904039017413
,,T202210110000179p002613,,T202308030000179p002613,0.07460320589225944,0.4369917342737232
,,T202210020000184p000320,,T202308250000185p000320,0.07684928296680482,0.05566945838127554
,,T202210020000200p002008,,T202308040000200p002008,0.08348573759175792,0.335586678103705
,,,,T202308040000207p004124,0.08632355739956665,0.6900261962851859
,,,,T202308250000215p002611,0.08978049469340021,0.43648034325295615
,,T202210020000218p005827,,T202308020000218p005827,0.09066671522512593,0.9741952304739537
,,T202209090000220p005130,,T202308020000220p005130,0.09172277939012474,0.8583358274682932
,,,,T202308250000226p005251,0.09426340075867756,0.8808086747765091
,,T202210200000230m000635,,,0.09567932312916128,-0.10978238092749218
,,T202209140000230m002560,,,0.09573969536745608,-0.4332920391052041
,,T202209090000237m001056,,,0.09870381716757493,-0.18223646226635545
,,T202209090000239m003215,,T202308020000239m003215,0.09963750854407749,-0.5374262016492519
,,,,T202308040000243p003804,0.10124327743545793,0.6345403749015482
,,T202210020000244m003403,,,0.1018081218220459,-0.5675448407610949
,,T202210060000252m003019,,,0.1049499516620358,-0.5053659167664997
,,T202209140000256p005113,,,0.1067131855191974,0.8537101997244781
,,T202209140000257p004157,,T202308040000258p004157,0.10732221928336116,0.6991551331724353
,,T202210060000262p005529,,,0.10927381389478796,0.9247777599658109
,,T202209090000263m001645,,T202308020000263m001645,0.10971117641034313,-0.2792292162025536
,,T202209090000265m003805,,T202308020000265m003804,0.1106086876240795,-0.6345867884736787
,,T202209090000268m002332,,T202310060000268m002331,0.1117639025615631,-0.3920763597457327
,,T202209090000268p003823,,T202308020000268p003823,0.1118345831085037,0.6398058040241783
,,T202210020000269p002005,,T202308030000269p002005,0.1122535140179366,0.334682001848615
,,,,T202308250000271p000042,0.1130734962118254,0.011701958379729621
