,STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC,Z,Z_ERR,SPECTYPE,OBSERVATION_STATUS
0,A202204211423123m005116,,A202204211423123m005116,,,,215.8010451861136,-0.8545649884166305,0.19031654948664736,2.4625150213206642e-05,QSO,Y
1,T202210060350237m154301,,,T202210060350237m154301,,,57.59876476325465,-15.71695590952826,0.23097329044353623,4.252879450109047e-06,GALAXY,Y
2,C202210060349568m152123,,,C202210060349568m152123,,,57.48679309839086,-15.356516229684608,,,,N
3,C202311050349356m152913,,,,,C202311050349356m152913,57.39831791676311,-15.486978447500418,0.1432059222990945,1.823466395897061e-06,GALAXY,Y
4,C202310060349100m161333,,,,,C202310060349100m161333,57.29163407908064,-16.22574653607117,,,,N
5,C202212280349025m145944,,,C202212280349025m145944,,,57.26045585680386,-14.995573727607566,,,,N
6,C202312110348336m161752,,,,,C202312110348336m161752,57.14015814338746,-16.297790912413678,,,,N
7,T202301240348184m152341,,,T202301240348184m152341,T202302020348184m152340,,57.07652005840359,-15.394582870862724,0.08109703786146996,3.902212684870722e-06,GALAXY,Y
8,T202210260347253m155435,,,T202210260347253m155435,,,56.85527205170136,-15.909678595379315,0.10510866753945175,1.5280019337800485e-05,GALAXY,Y
9,C202212130347209m160409,,,C202212130347209m160409,,,56.83711539240735,-16.069117319293316,0.17464971770773674,7.79312363633456e-06,GALAXY,Y
10,T202310150346526m161711,,,,,T202310150346526m161711,56.71923455788768,-16.286478220641428,0.19850452727343348,9.028080188951732e-06,GALAXY,Y
11,A202311050346440m153503,,,,,A202311050346440m153503,56.68348084273244,-15.584180700003593,,,,N
12,T202211040346272m155406,,,T202211040346272m155406,,,56.613193012672426,-15.901687246810534,,,,N
13,T202312020346222m150125,,,,,T202312020346222m150125,56.59245208017053,-15.023583650463262,,,,N
14,C202212160346205m153912,,,C202212160346205m153912,,,56.58531224081265,-15.653421818134612,0.5383035730777144,8.595280184273658e-05,QSO,Y
15,A202210100345571m151522,,,A202210100345571m151522,,,56.487807493378256,-15.255994023196472,,,,N
16,T202211160343489m150412,,,T202211160343489m150412,,,55.9535451690758,-15.070004167840516,0.3529172593915625,0.0001023799596827695,GALAXY,Y
17,C202212250343302m145229,,,C202212250343302m145229,,,55.87600832748197,-14.874599462871576,,,,N
18,T202209090343268m142302,,,T202209090343268m142302,,,55.86165485436499,-14.383992903480529,0.07583745031790817,1.347608200970269e-05,GALAXY,Y
19,C202301210343234m153205,,,C202301210343234m153205,,,55.84735644831628,-15.53462186862834,,,,N
20,T202210290343178m145114,,,T202210290343178m145114,,,55.82410206377867,-14.853894309133969,,,,N
21,C202212190343016m164040,,,C202212190343016m164040,,,55.756597159739925,-16.677797479250987,,,,N
22,T202210290342457m162341,,,T202210290342457m162341,,,55.69028901813919,-16.39485603417296,,,,N
23,T202311050342195m171321,,,,,T202311050342195m171321,55.58106660224434,-17.222461214258423,0.13805550506484193,7.794185105977416e-06,GALAXY,Y
24,C202211220342134m165126,,,C202211220342134m165126,,,55.55567461100966,-16.857242675626367,,,,N
25,T202311050342128m170137,,,,,T202311050342128m170137,55.55328116178207,-17.026983807838082,0.08540764803981377,2.50233868308336e-06,GALAXY,Y
26,C202211160342111m135243,,,C202211160342111m135243,,,55.5461886088321,-13.878724450059952,0.1423357491504691,0.00014144658798611646,GALAXY,Y
27,C202210260341514m142429,,,C202210260341514m142429,,,55.46407694619128,-14.40798560925538,0.1191714278075357,1.8548448435666356e-05,GALAXY,Y
28,T202212280341279m141809,,,T202212280341279m141809,,,55.36610558775493,-14.302537202377474,0.14128354927915485,3.626049567689547e-05,GALAXY,Y
29,C202310150341208m143524,,,,,C202310150341208m143524,55.33679251318647,-14.589928435640294,,,,N
30,A202212190341144m135901,,,A202212190341144m135901,,,55.30985069603034,-13.983531206503123,,,,N
31,C202308250341089m141236,,,,,C202308250341089m141236,55.28725515190496,-14.209904344731465,0.7772593884992605,6.349891925216002e-05,QSO,Y
32,T202301180340582m171100,,,T202301180340582m171100,T202302020340582m171100,,55.24245015774886,-17.18343810599117,,,,N
33,T202312020340401m140408,,,,,T202312020340401m140408,55.1670881472028,-14.068912988641143,0.19062085008472684,4.9986269703766934e-05,GALAXY,Y
34,C202312110340112m152257,,,,,C202312110340112m152257,55.04651724923154,-15.382546357591083,,,,N
35,A202209050340040m171255,,,A202209050340040m171255,,,55.01683373768653,-17.215309375901665,,,,N
36,T202212130339540m172324,,,T202212130339540m172324,,,54.97518169306912,-17.39012686162275,,,,N
37,T202211100339432m143005,,,T202211100339432m143005,,,54.930027441902,-14.501315737735222,0.1473166979369061,5.26810189901082e-06,GALAXY,Y
38,T202302020339140m173601,,,,T202302020339140m173601,,54.808153090349855,-17.600319504106313,0.06562273218995512,2.0341312565448164e-05,GALAXY,Y
39,T202209050339095m170845,,,T202209050339095m170845,,,54.78977138028328,-17.145906524388838,0.06398874798450432,1.6810254868237126e-06,GALAXY,Y
40,T202212130338448m152316,,,T202212130338448m152316,,,54.68666608953314,-15.387748697502929,0.17420772491057396,1.5746655332108957e-05,GALAXY,Y
41,T202211160338380m162712,,,T202211160338380m162712,,,54.658317313525,-16.453377963329668,,,,N
42,C202312110338338m161210,,,,,C202312110338338m161210,54.64082129706176,-16.202750068969564,,,,N
43,T202209090337519m145834,,,T202209090337519m145834,,,54.46644056211293,-14.976062769142688,,,,N
44,C202212190337038m150217,,,C202212190337038m150217,,,54.266006591531344,-15.038137552777894,,,,N
45,T202312170336151m143315,,,,,T202312170336151m143315,54.06294269466847,-14.554077460044804,,,,N
46,C202312110330127m142027,,,,,C202312110330127m142027,52.55288982781392,-14.340952735844866,,,,N
47,C202211160329375m172034,,,C202211160329375m172034,,,52.40637483250588,-17.342830832224408,0.2461649777550893,5.113445981889173e-05,GALAXY,Y
48,C202401040329327m164335,,,,,C202401040329327m164335,52.38641288900008,-16.726367815332488,0.05340390280796897,0.00012816336196318657,GALAXY,Y
49,C202212190328067m172260,,,C202212190328067m172260,,,52.0279538511531,-17.383197971025446,,,,N
