,STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC,Z,Z_ERR,SPECTYPE,OBSERVATION_STATUS
0,C202210020000005m002704,,,C202210020000005m002704,,,0.0019038573116176,-0.4510541925797486,,,,N
1,T202210020000016p003460,,,T202210020000016p003460,,,0.0068337098895767,0.5832339387874013,2.2678081724238552,0.0002778102745260744,QSO,Y
2,T202210020000064p005207,,,T202210020000064p005207,,,0.0267426877975935,0.8685464645100514,1.4512516992448057,0.0005291234480620836,QSO,Y
3,T202308030000269p002005,,,,,T202308030000269p002005,0.112235526466975,0.3347032888867059,0.8217402968346544,0.00010386161422379022,QSO,Y
4,T202210170000300p004846,,,T202210170000300p004846,,,0.1250142050784575,0.8127581493331104,2.40941002253565,0.0003031081715440622,QSO,Y
5,T202210140000341m002415,,,T202210140000341m002415,,,0.1421939225301685,-0.4042648130933857,2.005994547700063,0.0006272079582740543,QSO,Y
6,T202210140000537p002156,,,T202210140000537p002156,,,0.2236974452740696,0.3656768732929373,,,,N
7,C202307200001452m012150,,,C202307200001452m012150,,,0.43840100911876,-1.3638920418764502,,,,N
8,T202307260002411m005140,,,T202307260002411m005140,,,0.6712505648735743,-0.8610027256484046,0.1402328737832255,9.77600515772668e-06,GALAXY,Y
9,T202209090003205p000045,,,T202209090003205p000045,,,0.8356249576800155,0.0123781695381118,,,,N
10,T202309270004073m001555,,,,,T202309270004073m001555,1.0302816472189011,-0.2654038717205729,,,,N
11,A202308130004508p000108,,,,,A202308130004508p000108,1.2117178455354938,0.0189217319580731,,,,N
12,T202307110005064m012904,,,T202307110005064m012904,,T202308030005063m012904,1.276414383034956,-1.4845342767160357,0.08524781147336996,1.7605558255165143e-05,GALAXY,Y
13,C202307260005112m012337,,,C202307260005112m012337,,,1.2966058610999194,-1.3934999862487891,0.34132442869304863,9.812147075308326e-06,GALAXY,Y
14,C202210060005339m002802,,,C202210060005339m002802,,,1.3914325954548468,-0.4671599652091857,0.4738491615730869,6.706399174455874e-05,QSO,Y
15,C202210020005547m002404,,,C202210020005547m002404,,,1.4781236399826572,-0.4011736205108396,,,,N
16,T202209140006137m000219,,,T202209140006137m000219,,,1.5572170269886647,-0.0385224267678398,,,,N
17,T202307260006238m005004,,,T202307260006238m005004,,,1.5989803816286638,-0.8345235042445764,,,,N
18,C202310090007027m003802,,,,,C202310090007027m003802,1.7612990077345736,-0.6339852639521085,,,,N
