STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC
C202210020000005m002704,,,C202210020000005m002704,,,0.0019038573116176,-0.4510541925797486
T202210020000016p003460,,,T202210020000016p003460,,,0.0068337098895767,0.5832339387874013
T202210020000064p005207,,,T202210020000064p005207,,,0.0267426877975935,0.8685464645100514
T202308030000269p002005,,,,,T202308030000269p002005,0.112235526466975,0.3347032888867059
T202210170000300p004846,,,T202210170000300p004846,,,0.1250142050784575,0.8127581493331104
T202210140000341m002415,,,T202210140000341m002415,,,0.1421939225301685,-0.4042648130933857
T202210140000537p002156,,,T202210140000537p002156,,,0.2236974452740696,0.3656768732929373
C202307200001452m012150,,,C202307200001452m012150,,,0.43840100911876,-1.3638920418764502
T202307260002411m005140,,,T202307260002411m005140,,,0.6712505648735743,-0.8610027256484046
T202209090003205p000045,,,T202209090003205p000045,,,0.8356249576800155,0.0123781695381118
T202309270004073m001555,,,,,T202309270004073m001555,1.0302816472189011,-0.2654038717205729
A202308130004508p000108,,,,,A202308130004508p000108,1.2117178455354938,0.0189217319580731
T202307110005064m012904,,,T202307110005064m012904,,T202308030005063m012904,1.276414383034956,-1.4845342767160357
C202307260005112m012337,,,C202307260005112m012337,,,1.2966058610999194,-1.3934999862487891
C202210060005339m002802,,,C202210060005339m002802,,,1.3914325954548468,-0.4671599652091857
C202210020005547m002404,,,C202210020005547m002404,,,1.4781236399826572,-0.4011736205108396
T202209140006137m000219,,,T202209140006137m000219,,,1.5572170269886647,-0.0385224267678398
T202307260006238m005004,,,T202307260006238m005004,,,1.5989803816286638,-0.8345235042445764
C202310090007027m003802,,,,,C202310090007027m003802,1.7612990077345736,-0.6339852639521085
C202307260007392m002403,,,C202307260007392m002403,,,1.91326626338809,-0.4008371318584313
T202210110007516m011748,,,T202210110007516m011748,,,1.9650187787747984,-1.2967816048612446
T202308250007562m000735,,,,,T202308250007562m000735,1.9839932230793536,-0.1264325529343422
T202212221035488m070420,,,T202212221035488m070420,,,158.9534567035282,-7.072086245319885
C202212131035558m071342,,,C202212131035558m071342,,,158.9826510348719,-7.22828980359783
T202303041035564m073450,,,,T202303041035564m073450,,158.9851849725374,-7.580621592082534
T202312111036194m070002,,,,T202312111036194m070002,,159.08082219245438,-7.000592276249013
A202302171037069m075543,,,,A202302171037069m075543,,159.27866228804606,-7.928696681700157
C202312111037095m075841,,,,C202312111037095m075841,,159.2896522590801,-7.978043084209497
T202301091037218m080014,,,T202301091037218m080014,,,159.34063289728888,-8.004003566437662
T202301181037265m073806,,,T202301181037265m073806,,,159.36043841102068,-7.634880850475995
C202212131037371m071613,,,C202212131037371m071613,C202302021037371m071613,,159.40454797045317,-7.270342451132381
T202212191037515m071733,,,T202212191037515m071733,,,159.4645401641352,-7.292537982787228
A202301241038172m074024,,,A202301241038172m074024,,,159.57173016970486,-7.673357160966352
A202212191038206m074554,,,A202212191038206m074554,,,159.5860102893104,-7.765024634417019
C202312111038240m074746,,,,C202312111038240m074746,,159.5999243555494,-7.796214507624144
T202312111038258m074615,,,,T202312111038258m074615,,159.60753134664668,-7.770827374514406
T202302111038427m074526,,,,T202302111038427m074526,,159.67772873830782,-7.7573123261368915
A202302021038595m072553,,,,A202302021038595m072553,,159.7479674114714,-7.4313344574559075
A202212191039015m073113,,,A202212191039015m073113,,,159.75619029344318,-7.520415600249734
C202301211039047m074602,,,C202301211039047m074602,,,159.7695188736211,-7.767166704392205
A202212251039104m075648,,,A202212251039104m075648,,,159.79317808816043,-7.946765133258358
C202212251039125m073952,,,C202212251039125m073952,,,159.80221924578788,-7.664563268460752
C202212131039166m074400,,,C202212131039166m074400,,,159.81921085363103,-7.73345283748457
A202312111039169m065748,,,,A202312111039169m065748,,159.8203370917612,-6.963269166044892
C202302171039178m070004,,,,C202302171039178m070004,,159.82418794305912,-7.00118605192046
T202312231039248m060653,,,,T202312231039248m060653,,159.85325931736676,-6.1148421793314185
T202303011039310m072019,,,,T202303011039310m072019,,159.879212965398,-7.338659965368548
T202212131039337m060460,,,T202212131039337m060460,,,159.89028520567854,-6.083228691123828
C202312111039381m075932,,,,C202312111039381m075932,,159.90859260562002,-7.992346260579352
T202302171039394m065425,,,,T202302171039394m065425,,159.91436218122237,-6.907026391065784
T202212131039437m072425,,,T202212131039437m072425,,,159.93196292591156,-7.406950517388357
C202304121039507m054838,,,,C202304121039507m054838,,159.96124728063782,-5.810636656884675
A202212191039533m053922,,,A202212191039533m053922,,,159.9720766097042,-5.656194504336908
A202212191040022m072052,,,A202212191040022m072052,,,160.0093323201046,-7.347774011570767
C202212131040061m074057,,,C202212131040061m074057,,,160.025514143171,-7.682411217777552
T202401041040155m075645,,,,T202401041040155m075645,,160.06447087220687,-7.945870142677026
T202301091040165m080615,,,T202301091040165m080615,,,160.06871733452263,-8.1040658212944
A202212191040246m071109,,,A202212191040246m071109,,,160.10257801303126,-7.18573974292474
A202401071040465m074742,,,,A202401071040465m074742,,160.1937069695893,-7.795072705210477
C202302021040496m081340,,,,C202302021040496m081340,,160.20660626113354,-8.22778622470178
A202212251040505m074859,,,A202212251040505m074859,,,160.21062265638,-7.816333214849437
T202212251040521m070804,,,T202212251040521m070804,T202302141040521m070804,,160.21721289049827,-7.134430287504445
A202312111040550m064400,,,,A202312111040550m064400,,160.22933178541945,-6.733348310124774
T202212191040554m054830,,,T202212191040554m054830,,,160.23094373820763,-5.808244786291483
A202212191041000m054522,,,A202212191041000m054522,,,160.25014862973302,-5.75610476446299
C202312201041050m064646,,,,C202312201041050m064646,,160.27066371223688,-6.779382419193103
C202301211041078m072523,,,C202301211041078m072523,,,160.2826987578567,-7.423043112499138
C202302141041118m065031,,,,C202302141041118m065031,,160.2990585332585,-6.841980337243898
T202312111041135m054805,,,,T202312111041135m054805,,160.30611432463223,-5.801370520706443
C202312111041244m055143,,,,C202312111041244m055143,,160.3516279677816,-5.861875122190834
T202301181041261m075758,,,T202301181041261m075758,,,160.3588725918816,-7.966231396135647
C202401041041262m075952,,,,C202401041041262m075952,,160.35926266709586,-7.997694496450549
C202401071041282m061411,,,,C202401071041282m061411,,160.36756725481462,-6.236371938716368
C202303281041296m052611,,,,C202303281041296m052611,,160.37321305032782,-5.436339783030799
T202303221041297m060239,,,,T202303221041297m060239,,160.37390690989602,-6.044088455940747
C202302171041387m051925,,,,C202302171041387m051925,,160.4113693805484,-5.323543133398572
A202212251041407m063707,,,A202212251041407m063707,,,160.4194346183494,-6.618617031936929
T202401041041481m080658,,,,T202401041041481m080658,,160.45052412116397,-8.116051648865879
T202401041041586m054913,,,,T202401041041586m054913,,160.49401015595112,-5.820377151722687
T202301041042007m053543,,,T202301041042007m053543,,,160.5027386898896,-5.595294241805725
T202212131042052m070523,,,T202212131042052m070523,,,160.52176295344813,-7.089848707425021
T202401041042091m074805,,,,T202401041042091m074805,,160.5379804264992,-7.8013233245621265
C202212191042184m063404,,,C202212191042184m063404,,,160.57648128615847,-6.56767251471575
T202401041042226m054253,,,,T202401041042226m054253,,160.5941135784748,-5.714831579236911
C202301031042227m073724,,,C202301031042227m073724,,,160.5944627389794,-7.623422662060253
C202212191042228m060151,,,C202212191042228m060151,,,160.59507908058634,-6.030823499744141
C202212191042231m080303,,,C202212191042231m080303,,,160.59634404226617,-8.050885605151871
A202212281042317m053928,,,A202212281042317m053928,,,160.63212128738226,-5.657903656537898
C202212281042324m054644,,,C202212281042324m054644,C202302021042324m054644,,160.635066452312,-5.7788227257077205
T202302021042372m062304,,,,T202302021042372m062304,,160.65519283422458,-6.384401259493036
A202301181042375m060809,,,A202301181042375m060809,,,160.65608824177352,-6.135837740492327
A202212131042497m074923,,,A202212131042497m074923,,,160.70704833701825,-7.823008485514818
A202212221042567m051528,,,A202212221042567m051528,,,160.7362032990987,-5.257814798219403
A202301031042600m070832,,,A202301031042600m070832,,,160.74979763855063,-7.142199666027858
T202212221043016m052337,,,T202212221043016m052337,,,160.75676687621055,-5.393718337717216
A202302171043067m075537,,,,A202302171043067m075537,,160.7778458350713,-7.927042935549606
C202301211043121m075314,,,C202301211043121m075314,,,160.80061800505868,-7.887172359389249
T202301041043139m063859,,,T202301041043139m063859,,,160.8078810396094,-6.649614549675651
C202212251043315m071004,,,C202212251043315m071004,,,160.88109161482598,-7.1676951537285
T202302111043343m070233,,,,T202302111043343m070233,,160.89294390999217,-7.042466629195716
T202312201043515m071035,,,,T202312201043515m071035,,160.96468614379938,-7.176473427416414
C202212131043584m061405,,,C202212131043584m061405,,,160.9932255322839,-6.234596148248047
T202301241044006m065549,,,T202301241044006m065549,,,161.00269452394272,-6.930252322017603
T202212191044011m061232,,,T202212191044011m061232,,,161.00474761696748,-6.208891445111959
C202212191044065m052213,,,C202212191044065m052213,,,161.02706247957695,-5.370195976544223
T202302021044136m055215,,,,T202302021044136m055215,,161.05666676171705,-5.870902483730987
T202212221044188m063101,,,T202212221044188m063101,,,161.078130989306,-6.516996964237612
C202212191044243m061306,,,C202212191044243m061306,,,161.101098035899,-6.218419948811924
C202312201044320m054737,,,,C202312201044320m054737,,161.13328216505786,-5.79372634966223
A202312201044337m053636,,,,A202312201044337m053636,,161.14034572494384,-5.610056983216794
C202312111044429m065812,,,,C202312111044429m065812,,161.17863547155238,-6.970049496054072
C202212191044474m052543,,,C202212191044474m052543,,,161.19759349890683,-5.42867908917881
T202303041044560m063818,,,,T202303041044560m063818,,161.23314872960302,-6.6383431694897865
T202212191045139m054434,,,T202212191045139m054434,,,161.30780757054606,-5.7427080940611175
T202312201045184m065604,,,,T202312201045184m065604,,161.32652942942204,-6.934561185971473
C202301041045220m071041,,,C202301041045220m071041,,,161.3418047252402,-7.178061643729294
T202302111045240m055942,,,,T202302111045240m055942,,161.35019911926491,-5.995088707403232
T202401041045268m075603,,,,T202401041045268m075603,,161.36155535286923,-7.934144549986532
A202212131045282m053754,,,A202212131045282m053754,,,161.36764904815362,-5.631692978179178
